"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1990","1990","EUR","Euro","6","Millions","2013","2013",263259.859,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1991","1991","EUR","Euro","6","Millions","2013","2013",268085.6078,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1992","1992","EUR","Euro","6","Millions","2013","2013",272189.0731,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1993","1993","EUR","Euro","6","Millions","2013","2013",269570.9596,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1994","1994","EUR","Euro","6","Millions","2013","2013",278269.9376,"E","Estimated value"
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1995","1995","EUR","Euro","6","Millions","2013","2013",284906,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1996","1996","EUR","Euro","6","Millions","2013","2013",289445,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1997","1997","EUR","Euro","6","Millions","2013","2013",300185,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1998","1998","EUR","Euro","6","Millions","2013","2013",306115,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1999","1999","EUR","Euro","6","Millions","2013","2013",317022,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2000","2000","EUR","Euro","6","Millions","2013","2013",328542,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2001","2001","EUR","Euro","6","Millions","2013","2013",331208,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2002","2002","EUR","Euro","6","Millions","2013","2013",337105,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2003","2003","EUR","Euro","6","Millions","2013","2013",339716,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2004","2004","EUR","Euro","6","Millions","2013","2013",352064,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2005","2005","EUR","Euro","6","Millions","2013","2013",359437,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2006","2006","EUR","Euro","6","Millions","2013","2013",368421,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2007","2007","EUR","Euro","6","Millions","2013","2013",380938,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2008","2008","EUR","Euro","6","Millions","2013","2013",383784,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2009","2009","EUR","Euro","6","Millions","2013","2013",375015,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2010","2010","EUR","Euro","6","Millions","2013","2013",385121,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2011","2011","EUR","Euro","6","Millions","2013","2013",392041,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2012","2012","EUR","Euro","6","Millions","2013","2013",392663,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2013","2013","EUR","Euro","6","Millions","2013","2013",392675,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2014","2014","EUR","Euro","6","Millions","2013","2013",397762,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2015","2015","EUR","Euro","6","Millions","2013","2013",403227,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1990","1990","CAD","Canadian Dollar","6","Millions",,,692997,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1991","1991","CAD","Canadian Dollar","6","Millions",,,699253,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1992","1992","CAD","Canadian Dollar","6","Millions",,,716019,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,744608,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,789507,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,828973,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,857023,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,903902,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,937295,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,1004456,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,1102380,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,1140505,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1189452,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1250315,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1331178,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1417028,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1492207,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1573532,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1652923,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1567365,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1662131,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1769922,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1822808,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1892193,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1973043,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1983288,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1990","1990","CAD","Canadian Dollar","6","Millions","2007","2007",999298,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1991","1991","CAD","Canadian Dollar","6","Millions","2007","2007",978056,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1992","1992","CAD","Canadian Dollar","6","Millions","2007","2007",986692,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1993","1993","CAD","Canadian Dollar","6","Millions","2007","2007",1012891,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1994","1994","CAD","Canadian Dollar","6","Millions","2007","2007",1058405,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1995","1995","CAD","Canadian Dollar","6","Millions","2007","2007",1086746,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1996","1996","CAD","Canadian Dollar","6","Millions","2007","2007",1104254,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1997","1997","CAD","Canadian Dollar","6","Millions","2007","2007",1151514,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1998","1998","CAD","Canadian Dollar","6","Millions","2007","2007",1196213,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","1999","1999","CAD","Canadian Dollar","6","Millions","2007","2007",1257976,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2000","2000","CAD","Canadian Dollar","6","Millions","2007","2007",1323173,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","V","Constant prices, national base year","2001","2001","CAD","Canadian Dollar","6","Millions","2007","2007",1346604,,
